Segment,Times,PowerkW,EnergykWh,Rangem,Altitudem,Airspeedmps,TemperatureK,SpeedOfSoundmps,PressurePa,Densitykgpm3
TakeOff start,1,420.026263028927,0,0,0,0,288.15,340.294124355681,101325,1.225
TakeOff end,16,419.723893178157,1.74947949209809,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp start,17,420.026263028927,1.74947949209809,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp end,47,161.317082742487,4.17174343281232,0,15,39.2660130282556,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb start,48,177.136176038014,4.17174343281232,0,15,42.1940769427549,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb end,156.109090909091,179.513179016752,9.52688753674071,4666.12218648745,609.6,43.4245263004219,284.1876,337.946303702502,94212.9075249917,1.15489734432718
Cruise start,157.109090909091,105.603195907928,9.52688753674071,4666.12218648745,609.6,67.056,284.1876,337.946303702502,94212.9075249917,1.15489734432718
Cruise end,1588.74831782391,105.603195907928,51.5229091337853,100666.122186487,609.6,67.056,284.1876,337.946303702502,94212.9075249917,1.15489734432718
Descent start,1589.74831782391,-11.7367033361888,51.5229091337853,100666.122186487,609.6,43.4245263004219,284.1876,337.946303702502,94212.9075249917,1.15489734432718
Descent end,1697.857408733,-14.113706314927,51.1347613161451,100666.122186487,15,42.1940769427549,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown start,1698.857408733,-29.9327996104544,51.1347613161451,100666.122186487,15,39.2660130282556,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown end,1728.857408733,420.026263028927,52.7601507470554,100666.122186487,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing start,1729.857408733,420.026263028927,52.7601507470554,100666.122186487,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing end,1775.31195418754,419.723893178157,58.0616037534133,100666.122186487,0,0,288.15,340.294124355681,101325,1.225
