Segment,Times,PowerkW,EnergykWh,Rangem,Altitudem,Airspeedmps,TemperatureK,SpeedOfSoundmps,PressurePa,Densitykgpm3
TakeOff start,1,661.959452058767,0,0,0,0,288.15,340.294124355681,101325,1.225
TakeOff end,16,661.482918569429,2.75717160547541,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp start,17,661.959452058767,2.75717160547541,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp end,47,242.792661703939,6.52697207948668,0,15,34.6293684832622,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb start,48,259.613393547484,6.52697207948668,0,15,37.2116781301513,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb end,499.818181818182,270.937847343508,39.8204022212572,18083.479004768,2500,42.0736870071371,271.9,330.559575638038,74682.5358802046,0.95685900597895
Cruise start,500.818181818182,130.154118211765,39.8204022212572,18083.479004768,2500,67.056,271.9,330.559575638038,74682.5358802046,0.95685900597895
Cruise end,7277.24385588165,130.154118211765,284.81476561995,472483.479004768,2500,67.056,271.9,330.559575638038,74682.5358802046,0.95685900597895
Descent start,7278.24385588165,-74.9441597153154,284.81476561995,472483.479004768,2500,42.0736870071371,271.9,330.559575638038,74682.5358802046,0.95685900597895
Descent end,7730.06203769983,-86.2686135113399,274.698256997015,472483.479004768,15,37.2116781301513,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown start,7731.06203769983,-103.089345354885,274.698256997015,472483.479004768,15,34.6293684832622,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown end,7761.06203769983,661.959452058767,277.026882441614,472483.479004768,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing start,7762.06203769983,661.959452058767,277.026882441614,472483.479004768,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing end,7807.51658315438,661.482918569429,285.381947912752,472483.479004768,0,0,288.15,340.294124355681,101325,1.225
