Segment,Times,PowerkW,EnergykWh,Rangem,Altitudem,Airspeedmps,TemperatureK,SpeedOfSoundmps,PressurePa,Densitykgpm3
TakeOff start,1,445.735104199053,0,0,0,0,288.15,340.294124355681,101325,1.225
TakeOff end,16,445.414226985405,1.85656110663429,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp start,17,445.735104199053,1.85656110663429,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp end,47,201.733282655896,4.55434605186324,0,15,39.2660130282556,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb start,48,216.992903155825,4.55434605186324,0,15,42.1940769427549,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb end,127.090909090909,218.660825633441,9.3399362544726,3400.5039855596,450,43.0891278430073,285.225,338.562562352219,96034.5803771023,1.17294636706763
Cruise start,128.090909090909,104.132075642702,9.3399362544726,3400.5039855596,450,67.056,285.225,338.562562352219,96034.5803771023,1.17294636706763
Cruise end,3707.18897637795,104.132075642702,112.867411442078,243400.50398556,450,67.056,285.225,338.562562352219,96034.5803771023,1.17294636706763
Descent start,3708.18897637795,-58.06811554303,112.867411442078,243400.50398556,450,43.0891278430073,285.225,338.562562352219,96034.5803771023,1.17294636706763
Descent end,3787.27988546886,-59.7360380206455,111.573350664296,243400.50398556,15,42.1940769427549,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown start,3788.27988546886,-74.9956585205751,111.573350664296,243400.50398556,15,39.2660130282556,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown end,3818.27988546886,445.735104199053,113.118098354623,243400.50398556,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing start,3819.27988546886,445.735104199053,113.118098354623,243400.50398556,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing end,3864.73443092341,445.414226985405,118.744041101999,243400.50398556,0,0,288.15,340.294124355681,101325,1.225
