Segment,Times,PowerkW,EnergykWh,Rangem,Altitudem,Airspeedmps,TemperatureK,SpeedOfSoundmps,PressurePa,Densitykgpm3
TakeOff start,1,2821.77118724052,0,0,0,0,288.15,340.294124355681,101325,1.225
TakeOff end,16,2819.73984156551,11.7531479766792,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp start,17,3990.58708290917,11.7531479766792,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp end,38.2,410.418988043389,24.7116658522618,0,15,45.8133472697371,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb start,39.2,440.567514831726,24.7116658522618,0,15,49.2296454522497,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb end,491.472727272727,465.417253680959,81.6216939248704,24231.5978552866,3000,57.104572816832,268.65,328.578059889884,70108.5471843675,0.909122116038058
Cruise start,492.472727272727,143.584465660836,81.6216939248704,24231.5978552866,3000,69.9385326904225,268.65,328.578059889884,70108.5471843675,0.909122116038058
Cruise end,4175.70699156944,143.584465660836,228.525922742294,281831.597855287,3000,69.9385326904225,268.65,328.578059889884,70108.5471843675,0.909122116038058
Descent start,4176.70699156944,-105.024412985708,228.525922742294,281831.597855287,3000,57.104572816832,268.65,328.578059889884,70108.5471843675,0.909122116038058
Descent end,4628.97971884217,-129.874151834941,213.770615166755,281831.597855287,15,49.2296454522497,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown start,4629.97971884217,-160.022678623278,213.770615166755,281831.597855287,15,45.8133472697371,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown end,4651.17971884217,3990.58708290917,225.049499246041,281831.597855287,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing start,4652.17971884217,2821.77118724052,225.049499246041,281831.597855287,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing end,4697.63426429671,2819.73984156551,260.665099175372,281831.597855287,0,0,288.15,340.294124355681,101325,1.225
